Cyber_Crime_ID,Category,State/UT,Personal Revenge,Anger ,Fraud ,Extortion ,Causing Disrepute ,Prank ,Sexual Exploitation,Political Motives ,Terrorist Activities - Terrorist Recruitment,Terrorist Activities - Terrorist Funding,Terrorist Activities - Others,Inciting Hate against Country,Disrupt Public Service,Sale Purchase Illegal Drugs,Developing own Business,Spreading Piracy,Psycho or Pervert ,Steal Information ,Abetment to Suicide,Others ,Total ,Year
CC1,State,Andhra Pradesh,24,5,537,65,0,0,61,12,0,0,8,0,1,0,0,1,0,0,0,217,931,2017
CC2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017
CC3,State,Assam,246,83,48,65,40,40,217,10,0,0,44,2,0,0,0,0,0,3,0,322,1120,2017
CC4,State,Bihar,12,5,397,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,433,2017
CC5,State,Chhattisgarh,8,3,47,4,29,18,16,3,0,0,0,1,0,0,0,0,0,0,0,42,171,2017
CC6,State,Goa,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2017
CC7,State,Gujarat,6,5,305,12,79,3,24,4,0,0,0,6,2,0,1,0,0,0,0,11,458,2017
CC8,State,Haryana,7,6,43,4,9,2,36,0,0,0,0,0,1,2,7,4,0,1,0,382,504,2017
CC9,State,Himachal Pradesh,5,4,8,6,3,3,10,3,0,0,0,0,0,0,4,1,0,0,0,9,56,2017
CC10,State,Jammu & Kashmir,0,1,15,10,0,3,7,0,0,0,3,0,10,0,0,0,0,0,0,14,63,2017
CC11,State,Jharkhand,31,11,460,17,0,6,14,16,0,0,0,12,23,5,36,2,2,1,0,84,720,2017
CC12,State,Karnataka,36,12,2764,28,94,1,55,20,0,0,2,21,2,0,8,2,2,1,0,126,3174,2017
CC13,State,Kerala,62,28,77,11,30,0,65,9,1,0,1,1,1,0,2,0,8,0,0,24,320,2017
CC14,State,Madhya Pradesh,2,26,155,6,135,4,33,0,0,0,0,19,1,0,0,8,0,0,0,101,490,2017
CC15,State,Maharashtra,47,80,2171,23,97,16,462,3,0,0,7,57,2,0,13,2,4,1,0,619,3604,2017
CC16,State,Manipur,0,2,35,0,0,0,10,0,0,0,0,0,0,0,0,5,0,1,0,21,74,2017
CC17,State,Meghalaya,9,1,15,1,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,6,39,2017
CC18,State,Mizoram,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2017
CC19,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
CC20,State,Odisha,11,0,531,57,4,0,14,6,0,0,1,0,0,0,13,43,0,1,0,143,824,2017
